dataset_id,video_id,emotion,url,source_type,status,has_raw_transcript,has_cleaned_transcript,transcription_method,raw_transcript_path,cleaned_transcript_path,notes
14,TRT_004_IG,Trust,https://www.instagram.com/reel/DMjo8jKRvlV/?igsh=MWp1cHZ2dXd5aTNhaw%3D%3D,IG,transcribed,True,False,whisper:small,data\1_raw\transcripts\Trust\TRT_004_IG_raw.txt,,
15,SPR_007_IG,Surprise,https://www.instagram.com/reel/DMXQuTKRfmV/?igsh=MXRqbjN1ZXhkenpxMg%3D%3D,IG,transcribed,True,False,whisper:small,data\1_raw\transcripts\Surprise\SPR_007_IG_raw.txt,,
16,SPR_008_IG,Surprise,https://www.instagram.com/reel/DMRqecSRm7M/?igsh=MWd0ejliMHhzZjhleg%3D%3D,IG,transcribed,True,False,whisper:small,data\1_raw\transcripts\Surprise\SPR_008_IG_raw.txt,,
17,SPR_009_IG,Surprise,https://www.instagram.com/reel/DMHyhTJRej0/?igsh=MWxoeTdpaTdsMnIxcQ%3D%3D,IG,transcribed,True,False,whisper:small,data\1_raw\transcripts\Surprise\SPR_009_IG_raw.txt,,
18,SAD_001_IG,Sad,https://www.instagram.com/reel/DL1oBjdRc3-/?igsh=Ynp1NnIxcHN3cm9t,IG,transcribed,True,False,whisper:small,data\1_raw\transcripts\Sad\SAD_001_IG_raw.txt,,
19,TRT_005_IG,Trust,https://www.instagram.com/reel/DLuZNKOzFQ_/?igsh=M284bXZ6a3ppZHF5,IG,transcribed,True,False,whisper:small,data\1_raw\transcripts\Trust\TRT_005_IG_raw.txt,,
20,SPR_010_IG,Surprise,https://www.instagram.com/reel/DLn8SMvyPca/?igsh=Z2tndjRmM2E4emhm,IG,transcribed,True,False,whisper:small,data\1_raw\transcripts\Surprise\SPR_010_IG_raw.txt,,
21,SPR_011_IG,Surprise,https://www.instagram.com/reel/DLd7bkYyuV6/?igsh=azBpd2VxMW5vM2I2,IG,transcribed,True,False,whisper:small,data\1_raw\transcripts\Surprise\SPR_011_IG_raw.txt,,
22,SPR_012_IG,Surprise,https://www.instagram.com/reel/DLW9kprxKTe/?igsh=bmwxdWJmeGd0YXY1,IG,transcribed,True,False,whisper:small,data\1_raw\transcripts\Surprise\SPR_012_IG_raw.txt,,
23,SPR_013_IG,Surprise,https://www.instagram.com/reel/DLluizmyaG9/?igsh=MXRpYjVtYzZ5OHV5MQ%3D%3D,IG,failed,False,False,whisper:small,data\1_raw\transcripts\Surprise\SPR_013_IG_raw.txt,,"Failed to load audio: ffmpeg version 8.1.1-full_build-www.gyan.dev Copyright (c) 2000-2026 the FFmpeg developers
  built with gcc 15.2.0 (Rev13, Built by MSYS2 project)
  configuration: --enable-gpl --enable-version3 --enable-static --disable-w32threads --disable-autodetect --enable-cairo --enable-fontconfig --enable-iconv --enable-gnutls --enable-lcms2 --enable-libxml2 --enable-gmp --enable-bzlib --enable-lzma --enable-libsnappy --enable-zlib --enable-librist --enable-libsrt --enable-libssh --enable-libzmq --enable-avisynth --enable-libbluray --enable-libcaca --enable-libdvdnav --enable-libdvdread --enable-sdl2 --enable-libaribb24 --enable-libaribcaption --enable-libdav1d --enable-libdavs2 --enable-libopenjpeg --enable-libquirc --enable-libuavs3d --enable-libxevd --enable-libzvbi --enable-liboapv --enable-libqrencode --enable-librav1e --enable-libsvtav1 --enable-libvvenc --enable-libwebp --enable-libx264 --enable-libx265 --enable-libxavs2 --enable-libxeve --enable-libxvid --enable-libaom --enable-libjxl --enable-libsvtjpegxs --enable-libvpx --enable-mediafoundation --enable-libass --enable-frei0r --enable-libfreetype --enable-libfribidi --enable-libharfbuzz --enable-liblensfun --enable-libvidstab --enable-libvmaf --enable-libzimg --enable-amf --enable-cuda-llvm --enable-cuvid --enable-dxva2 --enable-d3d11va --enable-d3d12va --enable-ffnvcodec --enable-libvpl --enable-nvdec --enable-nvenc --enable-vaapi --enable-libshaderc --enable-vulkan --enable-libplacebo --enable-opencl --enable-libcdio --enable-openal --enable-libgme --enable-libmodplug --enable-libopenmpt --enable-libopencore-amrwb --enable-libmp3lame --enable-libshine --enable-libtheora --enable-libtwolame --enable-libvo-amrwbenc --enable-libcodec2 --enable-libilbc --enable-libgsm --enable-liblc3 --enable-libopencore-amrnb --enable-libopus --enable-libspeex --enable-libvorbis --enable-ladspa --enable-libbs2b --enable-libflite --enable-libmysofa --enable-librubberband --enable-libsoxr --enable-chromaprint --enable-whisper
  libavutil      60. 26.101 / 60. 26.101
  libavcodec     62. 28.101 / 62. 28.101
  libavformat    62. 12.101 / 62. 12.101
  libavdevice    62.  3.101 / 62.  3.101
  libavfilter    11. 14.101 / 11. 14.101
  libswscale      9.  5.101 /  9.  5.101
  libswresample   6.  3.101 /  6.  3.101
Input #0, mov,mp4,m4a,3gp,3g2,mj2, from 'C:\Users\ASUS\AppData\Local\Temp\bdc_video_vbee56hg\SPR_013_IG.mp4':
  Metadata:
    major_brand     : mp41
    minor_version   : 0
    compatible_brands: iso8isommp41dashvp09cmfc
    creation_time   : 2025-09-29T05:00:40.000000Z
  Duration: 00:01:50.77, start: 0.000000, bitrate: 4960 kb/s
  Stream #0:0[0x1](und): Video: vp9 (Profile 0) (vp09 / 0x39307076), yuv420p(tv, bt709), 1080x1920, 6140 kb/s, 30 fps, 30 tbr, 15360 tbn (default)
    Metadata:
      creation_time   : 2025-09-29T05:00:40.000000Z
      handler_name    : VideoHandler
      encoder         : VPC Coding
Output #0, s16le, to 'pipe:':
[out#0/s16le @ 000001ad3bee3680] Output file does not contain any stream
Error opening output file -.
Error opening output files: Invalid argument
"
24,SPR_014_IG,Surprise,https://www.instagram.com/reel/DK6gKdAxavr/?igsh=MTFtcXMyZXFmMmk1Mg%3D%3D,IG,deleted_or_unavailable,False,False,whisper:small,data\1_raw\transcripts\Surprise\SPR_014_IG_raw.txt,,"ERROR: [Instagram] DK6gKdAxavr: Instagram sent an empty media response. Check if this post is accessible in your browser without being logged-in. If it is not, then use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Otherwise, if the post is accessible in browser without being logged-in, please report this issue on  https://github.com/yt-dlp/yt-dlp/issues?q= , filling out the appropriate issue template. Confirm you are on the latest version using  yt-dlp -U

[Instagram] Setting up session
[Instagram] Extracting URL: https://www.instagram.com/reel/DK6gKdAxavr/?igsh=MTFtcXMyZXFmMmk1Mg%3D%3D
[Instagram] DK6gKdAxavr: Checking post accessibility
[Instagram] DK6gKdAxavr: Downloading webpage"
25,SPR_015_IG,Surprise,https://www.instagram.com/reel/DK6P7JxR2HP/?igsh=cW1rb3J0aWg5ZTk3,IG,transcribed,True,False,whisper:small,data\1_raw\transcripts\Surprise\SPR_015_IG_raw.txt,,
26,SPR_016_IG,Surprise,https://www.instagram.com/reel/DK5v1dZysCd/?igsh=MWwwbGR2ZDBldzZhZg%3D%3D,IG,transcribed,True,False,whisper:small,data\1_raw\transcripts\Surprise\SPR_016_IG_raw.txt,,
27,SPR_017_IG,Surprise,https://www.instagram.com/reel/DKyoWLZxUhw/?igsh=MWptanFveHI0MTZvag%3D%3D,IG,transcribed,True,False,whisper:small,data\1_raw\transcripts\Surprise\SPR_017_IG_raw.txt,,
28,SPR_018_IG,Surprise,https://www.instagram.com/reel/DKqTFiyyCqU/?igsh=c21yMHp5dDYzcWNy,IG,transcribed,True,False,whisper:small,data\1_raw\transcripts\Surprise\SPR_018_IG_raw.txt,,
29,PRD_005_IG,Proud,https://www.instagram.com/reel/DKYsIP8TVcJ/?igsh=djZyM3RjZ2J2dW1t,IG,transcribed,True,False,whisper:small,data\1_raw\transcripts\Proud\PRD_005_IG_raw.txt,,
30,PRD_006_IG,Proud,https://www.instagram.com/reel/DNFwcqfS6Gv/?igsh=MTRzdTJ1MThmcm9pag%3D%3D,IG,failed,False,False,whisper:small,data\1_raw\transcripts\Proud\PRD_006_IG_raw.txt,,"Failed to load audio: ffmpeg version 8.1.1-full_build-www.gyan.dev Copyright (c) 2000-2026 the FFmpeg developers
  built with gcc 15.2.0 (Rev13, Built by MSYS2 project)
  configuration: --enable-gpl --enable-version3 --enable-static --disable-w32threads --disable-autodetect --enable-cairo --enable-fontconfig --enable-iconv --enable-gnutls --enable-lcms2 --enable-libxml2 --enable-gmp --enable-bzlib --enable-lzma --enable-libsnappy --enable-zlib --enable-librist --enable-libsrt --enable-libssh --enable-libzmq --enable-avisynth --enable-libbluray --enable-libcaca --enable-libdvdnav --enable-libdvdread --enable-sdl2 --enable-libaribb24 --enable-libaribcaption --enable-libdav1d --enable-libdavs2 --enable-libopenjpeg --enable-libquirc --enable-libuavs3d --enable-libxevd --enable-libzvbi --enable-liboapv --enable-libqrencode --enable-librav1e --enable-libsvtav1 --enable-libvvenc --enable-libwebp --enable-libx264 --enable-libx265 --enable-libxavs2 --enable-libxeve --enable-libxvid --enable-libaom --enable-libjxl --enable-libsvtjpegxs --enable-libvpx --enable-mediafoundation --enable-libass --enable-frei0r --enable-libfreetype --enable-libfribidi --enable-libharfbuzz --enable-liblensfun --enable-libvidstab --enable-libvmaf --enable-libzimg --enable-amf --enable-cuda-llvm --enable-cuvid --enable-dxva2 --enable-d3d11va --enable-d3d12va --enable-ffnvcodec --enable-libvpl --enable-nvdec --enable-nvenc --enable-vaapi --enable-libshaderc --enable-vulkan --enable-libplacebo --enable-opencl --enable-libcdio --enable-openal --enable-libgme --enable-libmodplug --enable-libopenmpt --enable-libopencore-amrwb --enable-libmp3lame --enable-libshine --enable-libtheora --enable-libtwolame --enable-libvo-amrwbenc --enable-libcodec2 --enable-libilbc --enable-libgsm --enable-liblc3 --enable-libopencore-amrnb --enable-libopus --enable-libspeex --enable-libvorbis --enable-ladspa --enable-libbs2b --enable-libflite --enable-libmysofa --enable-librubberband --enable-libsoxr --enable-chromaprint --enable-whisper
  libavutil      60. 26.101 / 60. 26.101
  libavcodec     62. 28.101 / 62. 28.101
  libavformat    62. 12.101 / 62. 12.101
  libavdevice    62.  3.101 / 62.  3.101
  libavfilter    11. 14.101 / 11. 14.101
  libswscale      9.  5.101 /  9.  5.101
  libswresample   6.  3.101 /  6.  3.101
Input #0, mov,mp4,m4a,3gp,3g2,mj2, from 'C:\Users\ASUS\AppData\Local\Temp\bdc_video_vbee56hg\PRD_006_IG.mp4':
  Metadata:
    major_brand     : mp41
    minor_version   : 0
    compatible_brands: iso8isommp41dashvp09cmfc
    creation_time   : 2025-08-08T10:19:08.000000Z
  Duration: 00:01:57.10, start: 0.000000, bitrate: 1142 kb/s
  Stream #0:0[0x1](und): Video: vp9 (Profile 0) (vp09 / 0x39307076), yuv420p(tv, bt709), 1080x1920, 1174 kb/s, 30 fps, 30 tbr, 15360 tbn (default)
    Metadata:
      creation_time   : 2025-08-08T10:19:08.000000Z
      handler_name    : VideoHandler
      encoder         : VPC Coding
Output #0, s16le, to 'pipe:':
[out#0/s16le @ 00000293659e2900] Output file does not contain any stream
Error opening output file -.
Error opening output files: Invalid argument
"
31,SPR_019_IG,Surprise,https://www.instagram.com/reel/DNCx0f7yuhu/?igsh=c3drc3p4N2h1bXE5,IG,failed,False,False,whisper:small,data\1_raw\transcripts\Surprise\SPR_019_IG_raw.txt,,"Failed to load audio: ffmpeg version 8.1.1-full_build-www.gyan.dev Copyright (c) 2000-2026 the FFmpeg developers
  built with gcc 15.2.0 (Rev13, Built by MSYS2 project)
  configuration: --enable-gpl --enable-version3 --enable-static --disable-w32threads --disable-autodetect --enable-cairo --enable-fontconfig --enable-iconv --enable-gnutls --enable-lcms2 --enable-libxml2 --enable-gmp --enable-bzlib --enable-lzma --enable-libsnappy --enable-zlib --enable-librist --enable-libsrt --enable-libssh --enable-libzmq --enable-avisynth --enable-libbluray --enable-libcaca --enable-libdvdnav --enable-libdvdread --enable-sdl2 --enable-libaribb24 --enable-libaribcaption --enable-libdav1d --enable-libdavs2 --enable-libopenjpeg --enable-libquirc --enable-libuavs3d --enable-libxevd --enable-libzvbi --enable-liboapv --enable-libqrencode --enable-librav1e --enable-libsvtav1 --enable-libvvenc --enable-libwebp --enable-libx264 --enable-libx265 --enable-libxavs2 --enable-libxeve --enable-libxvid --enable-libaom --enable-libjxl --enable-libsvtjpegxs --enable-libvpx --enable-mediafoundation --enable-libass --enable-frei0r --enable-libfreetype --enable-libfribidi --enable-libharfbuzz --enable-liblensfun --enable-libvidstab --enable-libvmaf --enable-libzimg --enable-amf --enable-cuda-llvm --enable-cuvid --enable-dxva2 --enable-d3d11va --enable-d3d12va --enable-ffnvcodec --enable-libvpl --enable-nvdec --enable-nvenc --enable-vaapi --enable-libshaderc --enable-vulkan --enable-libplacebo --enable-opencl --enable-libcdio --enable-openal --enable-libgme --enable-libmodplug --enable-libopenmpt --enable-libopencore-amrwb --enable-libmp3lame --enable-libshine --enable-libtheora --enable-libtwolame --enable-libvo-amrwbenc --enable-libcodec2 --enable-libilbc --enable-libgsm --enable-liblc3 --enable-libopencore-amrnb --enable-libopus --enable-libspeex --enable-libvorbis --enable-ladspa --enable-libbs2b --enable-libflite --enable-libmysofa --enable-librubberband --enable-libsoxr --enable-chromaprint --enable-whisper
  libavutil      60. 26.101 / 60. 26.101
  libavcodec     62. 28.101 / 62. 28.101
  libavformat    62. 12.101 / 62. 12.101
  libavdevice    62.  3.101 / 62.  3.101
  libavfilter    11. 14.101 / 11. 14.101
  libswscale      9.  5.101 /  9.  5.101
  libswresample   6.  3.101 /  6.  3.101
Input #0, mov,mp4,m4a,3gp,3g2,mj2, from 'C:\Users\ASUS\AppData\Local\Temp\bdc_video_vbee56hg\SPR_019_IG.mp4':
  Metadata:
    major_brand     : mp41
    minor_version   : 0
    compatible_brands: iso8isommp41dashvp09cmfc
    creation_time   : 2025-08-07T07:17:44.000000Z
  Duration: 00:01:16.30, start: 0.000000, bitrate: 1568 kb/s
  Stream #0:0[0x1](und): Video: vp9 (Profile 0) (vp09 / 0x39307076), yuv420p(tv, bt709), 1080x1920, 641 kb/s, 30 fps, 30 tbr, 15360 tbn (default)
    Metadata:
      creation_time   : 2025-08-07T07:17:44.000000Z
      handler_name    : VideoHandler
      encoder         : VPC Coding
Output #0, s16le, to 'pipe:':
[out#0/s16le @ 000001f25854ffc0] Output file does not contain any stream
Error opening output file -.
Error opening output files: Invalid argument
"
32,SPR_020_IG,Surprise,https://www.instagram.com/reel/DLrCQUayqES/?igsh=MXdoNm9qamZ2a3M2bA%3D%3D,IG,transcribed,True,False,whisper:small,data\1_raw\transcripts\Surprise\SPR_020_IG_raw.txt,,
33,SPR_021_IG,Surprise,https://www.instagram.com/reel/DKRqwksS_WC/?igsh=MWVwMDB6Y2JhbnVuZg%3D%3D,IG,deleted_or_unavailable,False,False,whisper:small,data\1_raw\transcripts\Surprise\SPR_021_IG_raw.txt,,"ERROR: [Instagram] DKRqwksS_WC: This content isn't available to everyone: It can't be seen by certain audiences.

[Instagram] Setting up session
[Instagram] Extracting URL: https://www.instagram.com/reel/DKRqwksS_WC/?igsh=MWVwMDB6Y2JhbnVuZg%3D%3D
[Instagram] DKRqwksS_WC: Checking post accessibility"
34,JOY_001_IG,Joy,https://www.instagram.com/reel/DKQ8RCqypek/?igsh=eXdiamQ2aXd0Zm5t,IG,transcribed,True,False,whisper:small,data\1_raw\transcripts\Joy\JOY_001_IG_raw.txt,,
35,PRD_007_IG,Proud,https://www.instagram.com/reel/DJ3CggBSV0c/?igsh=emx2ZXFpc2lrYmt6,IG,transcribed,True,False,whisper:small,data\1_raw\transcripts\Proud\PRD_007_IG_raw.txt,,
36,SPR_022_IG,Surprise,https://www.instagram.com/reel/DJbiKpfSoQS/?igsh=MTIzcWo1enhibjUydw%3D%3D,IG,transcribed,True,False,whisper:small,data\1_raw\transcripts\Surprise\SPR_022_IG_raw.txt,,
37,TRT_006_IG,Trust,https://www.instagram.com/reel/DI24B5NS1Ng/?igsh=MTh6d2pjcXRsZmZ2aw%3D%3D,IG,transcribed,True,False,whisper:small,data\1_raw\transcripts\Trust\TRT_006_IG_raw.txt,,
38,SPR_023_IG,Surprise,https://www.instagram.com/reel/DIu8g5XSNwT/?igsh=ejI0aWFzbDJpZmF4,IG,transcribed,True,False,whisper:small,data\1_raw\transcripts\Surprise\SPR_023_IG_raw.txt,,
39,PRD_008_IG,Proud,https://www.instagram.com/reel/DHubvAIyjA_/?igsh=anp1aGhqM2docmd5,IG,transcribed,True,False,whisper:small,data\1_raw\transcripts\Proud\PRD_008_IG_raw.txt,,
40,SPR_024_IG,Surprise,https://www.instagram.com/reel/DHTC04Vybkk/?igsh=MXIzYmx6NXBzdzdqOQ%3D%3D,IG,transcribed,True,False,whisper:small,data\1_raw\transcripts\Surprise\SPR_024_IG_raw.txt,,
41,PRD_009_IG,Proud,https://www.instagram.com/reel/DG0Nu85ycJK/?igsh=eTU0ZnZrMjVpa2d4,IG,transcribed,True,False,whisper:small,data\1_raw\transcripts\Proud\PRD_009_IG_raw.txt,,
42,PRD_010_IG,Proud,https://www.instagram.com/reel/DGuKn9eS6IT/?igsh=MTl4ZnBkcWp1MXJzMQ%3D%3D,IG,transcribed,True,False,whisper:small,data\1_raw\transcripts\Proud\PRD_010_IG_raw.txt,,
43,ANG_001_IG,Anger,https://www.instagram.com/reel/DNF5kvrJIpl/,IG,transcribed,True,False,whisper:small,data\1_raw\transcripts\Anger\ANG_001_IG_raw.txt,,
44,SPR_025_IG,Surprise,https://www.instagram.com/reel/DNDbR2lJ7sn/,IG,transcribed,True,False,whisper:small,data\1_raw\transcripts\Surprise\SPR_025_IG_raw.txt,,
45,JOY_002_IG,Joy,https://www.instagram.com/reel/DNAxNJKpnJT/,IG,transcribed,True,False,whisper:small,data\1_raw\transcripts\Joy\JOY_002_IG_raw.txt,,
46,SPR_026_IG,Surprise,https://www.instagram.com/reel/DM_4hlAJR8U/,IG,deleted_or_unavailable,False,False,whisper:small,data\1_raw\transcripts\Surprise\SPR_026_IG_raw.txt,,"ERROR: [Instagram] DM_4hlAJR8U: This content isn't available to everyone: It can't be seen by certain audiences.

[Instagram] Setting up session
[Instagram] Extracting URL: https://www.instagram.com/reel/DM_4hlAJR8U/
[Instagram] DM_4hlAJR8U: Checking post accessibility"
47,SPR_027_IG,Surprise,https://www.instagram.com/reel/DM-MoXEJv7m/,IG,transcribed,True,False,whisper:small,data\1_raw\transcripts\Surprise\SPR_027_IG_raw.txt,,
48,SPR_028_IG,Surprise,https://www.instagram.com/reel/DM9-q-rpVW6/,IG,transcribed,True,False,whisper:small,data\1_raw\transcripts\Surprise\SPR_028_IG_raw.txt,,
49,SPR_029_IG,Surprise,https://www.instagram.com/reel/DM4qKYWJXcc/,IG,transcribed,True,False,whisper:small,data\1_raw\transcripts\Surprise\SPR_029_IG_raw.txt,,
50,JOY_003_IG,Joy,https://www.instagram.com/reel/DMztaoaJdth/,IG,transcribed,True,False,whisper:small,data\1_raw\transcripts\Joy\JOY_003_IG_raw.txt,,
51,JOY_004_IG,Joy,https://www.instagram.com/reel/DMxecAZJV7F/,IG,transcribed,True,False,whisper:small,data\1_raw\transcripts\Joy\JOY_004_IG_raw.txt,,
52,SPR_030_IG,Surprise,https://www.instagram.com/reel/DMwfzmvpolh/,IG,transcribed,True,False,whisper:small,data\1_raw\transcripts\Surprise\SPR_030_IG_raw.txt,,
53,SPR_031_IG,Surprise,https://www.instagram.com/reel/DMu0uGhJ-Ll/,IG,transcribed,True,False,whisper:small,data\1_raw\transcripts\Surprise\SPR_031_IG_raw.txt,,
54,JOY_005_IG,Joy,https://www.instagram.com/reel/DMuIn2BJhgC/,IG,transcribed,True,False,whisper:small,data\1_raw\transcripts\Joy\JOY_005_IG_raw.txt,,
55,SPR_032_IG,Surprise,https://www.instagram.com/reel/DMbifQvBvxE/,IG,transcribed,True,False,whisper:small,data\1_raw\transcripts\Surprise\SPR_032_IG_raw.txt,,
56,JOY_006_IG,Joy,https://www.instagram.com/reel/DMaJB-KJbM1/,IG,transcribed,True,False,whisper:small,data\1_raw\transcripts\Joy\JOY_006_IG_raw.txt,,
57,SPR_033_IG,Surprise,https://www.instagram.com/reel/DL8oCzzyd9d/,IG,transcribed,True,False,whisper:small,data\1_raw\transcripts\Surprise\SPR_033_IG_raw.txt,,
58,SPR_034_IG,Surprise,https://www.instagram.com/reel/DLzEOuRJyY9/,IG,transcribed,True,False,whisper:small,data\1_raw\transcripts\Surprise\SPR_034_IG_raw.txt,,
59,JOY_007_IG,Joy,https://www.instagram.com/reel/DKuNykmzl8i/,IG,transcribed,True,False,whisper:small,data\1_raw\transcripts\Joy\JOY_007_IG_raw.txt,,
60,SPR_035_IG,Surprise,https://www.instagram.com/reel/DK9I9hwpBxE/,IG,transcribed,True,False,whisper:small,data\1_raw\transcripts\Surprise\SPR_035_IG_raw.txt,,
61,SAD_002_IG,Sad,https://www.instagram.com/reel/DK68neNpv_z/,IG,transcribed,True,False,whisper:small,data\1_raw\transcripts\Sad\SAD_002_IG_raw.txt,,
62,ANG_002_IG,Anger,https://www.instagram.com/reel/DK6KDASJ9q8/,IG,transcribed,True,False,whisper:small,data\1_raw\transcripts\Anger\ANG_002_IG_raw.txt,,
63,SPR_036_IG,Surprise,https://www.instagram.com/reel/DK3mIHdzM65/,IG,transcribed,True,False,whisper:small,data\1_raw\transcripts\Surprise\SPR_036_IG_raw.txt,,
64,JOY_008_IG,Joy,https://www.instagram.com/reel/DJqtB7upaqL/,IG,transcribed,True,False,whisper:small,data\1_raw\transcripts\Joy\JOY_008_IG_raw.txt,,
65,JOY_009_IG,Joy,https://www.instagram.com/reel/DJlvZ19pO3Z/,IG,transcribed,True,False,whisper:small,data\1_raw\transcripts\Joy\JOY_009_IG_raw.txt,,
66,JOY_010_IG,Joy,https://www.instagram.com/reel/DJTQJ6zJA33/,IG,transcribed,True,False,whisper:small,data\1_raw\transcripts\Joy\JOY_010_IG_raw.txt,,
67,FEA_001_IG,Fear,https://www.instagram.com/reel/DHwfy_cT9QI/,IG,transcribed,True,False,whisper:small,data\1_raw\transcripts\Fear\FEA_001_IG_raw.txt,,
68,SPR_037_IG,Surprise,https://www.instagram.com/reel/DHt61dSzxF5/,IG,transcribed,True,False,whisper:small,data\1_raw\transcripts\Surprise\SPR_037_IG_raw.txt,,
69,SPR_038_IG,Surprise,https://www.instagram.com/reel/DHrWmL0zzRB/,IG,transcribed,True,False,whisper:small,data\1_raw\transcripts\Surprise\SPR_038_IG_raw.txt,,
70,JOY_011_IG,Joy,https://www.instagram.com/reel/DHppRXQyl6Q/,IG,transcribed,True,False,whisper:small,data\1_raw\transcripts\Joy\JOY_011_IG_raw.txt,,
71,SPR_039_IG,Surprise,https://www.instagram.com/reel/DHoxp-nTr5A/,IG,transcribed,True,False,whisper:small,data\1_raw\transcripts\Surprise\SPR_039_IG_raw.txt,,
72,SPR_040_IG,Surprise,https://www.instagram.com/reel/DHnNXV3JFse/,IG,transcribed,True,False,whisper:small,data\1_raw\transcripts\Surprise\SPR_040_IG_raw.txt,,
73,SPR_041_IG,Surprise,https://www.instagram.com/reel/DHMczehTEgW/,IG,transcribed,True,False,whisper:small,data\1_raw\transcripts\Surprise\SPR_041_IG_raw.txt,,
74,SPR_042_IG,Surprise,https://www.instagram.com/reel/DHK03enJEes/,IG,transcribed,True,False,whisper:small,data\1_raw\transcripts\Surprise\SPR_042_IG_raw.txt,,
75,PRD_011_GD,Proud,https://drive.google.com/file/d/12YBpn9zWc_3FfDadbmlip4s98_GjqUGY/view?usp=share_link,GD,transcribed,True,False,whisper:small,data\1_raw\transcripts\Proud\PRD_011_GD_raw.txt,,
76,TRT_007_GD,Trust,https://drive.google.com/file/d/12YBpn9zWc_3FfDadbmlip4s98_GjqUGY/view?usp=share_link,GD,transcribed,True,False,whisper:small,data\1_raw\transcripts\Trust\TRT_007_GD_raw.txt,,
77,SPR_043_GD,Surprise,https://drive.google.com/file/d/1YIy7DteRuFINaJ7Wb2UQDIReVLnXngma/view?usp=share_link,GD,transcribed,True,False,whisper:small,data\1_raw\transcripts\Surprise\SPR_043_GD_raw.txt,,
